RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
1,Precious Achiuwa,Mia,F,21.4,24,15.4,32,19.3,16.3,63,0.54,106,0.585,0,0,0.585,0.591,6.6,4.3,15.6,0.7,7.4,0.42,0.58,1.08,7,109,98.4
2,Jaylen Adams,Mil,G,24.77,5,3.2,6.8,20.7,0,0,0,6,0.167,2,0,0.125,0.125,0.4,0.6,9.8,0.4,14,0,0,0,5.7,,
3,Steven Adams,Nor,C,27.57,23,29.4,61.3,12.9,20.5,55,0.473,138,0.594,1,0,0.59,0.582,8.3,9.3,17.2,2.4,11,1,0.57,1.83,7.8,116.2,108.3
4,Bam Adebayo,Mia,C-F,23.57,22,33.3,69.4,24.6,15.6,142,0.852,274,0.577,5,0.4,0.577,0.649,20.1,9.1,15.4,5,26.6,0.91,1.05,2.86,11.7,122.3,103.9
5,LaMarcus Aldridge,San,C-F,35.57,18,26.7,55.6,22.3,6.4,21,0.762,158,0.525,67,0.358,0.529,0.542,14.1,4.3,8.4,1.9,11.5,0.39,0.89,0.89,7.3,106.5,108.8
6,Ty-Shon Alexander,Pho,G,22.58,3,2.8,5.8,16.1,0,0,0,2,0,1,0,0,0,0,0.3,6.6,0.3,14.4,0,0,0,0,,
7,Nickeil Alexander-Walker,Nor,G,22.44,21,20.4,42.6,22.6,13.2,32,0.781,98,0.51,86,0.267,0.459,0.49,9.2,2.8,7.4,2.1,15.2,1.19,0.38,1.43,7.4,96.6,105.3
8,Grayson Allen,Mem,G,25.35,15,22,45.9,16.8,12.2,34,0.882,27,0.37,73,0.384,0.52,0.583,8.9,2.9,7.1,1.9,11.5,1,0.2,1.07,6.7,114.3,110.1
9,Jarrett Allen,Bro,C,22.81,12,26.6,55.5,15.4,19.3,61,0.754,65,0.677,0,0,0.677,0.73,11.2,10.4,21.7,1.7,8.3,0.58,1.58,1.83,8.8,133.9,107.2
10,Jarrett Allen,Cle,C,22.81,13,25.6,53.3,16.3,10.4,49,0.816,88,0.67,3,0.333,0.665,0.715,12.4,7.5,16.2,1.5,9.1,0.31,1.77,1,8.1,137.8,109.5
11,Al-Farouq Aminu,Orl,F,30.39,1,4.9,10.2,16.3,53.2,2,0,0,0,0,0,,0,0,1,10.6,1,25.3,0,0,1,0,,116.6
12,Kyle Anderson,Mem,F-G,27.4,20,28.2,58.7,20.2,11.5,48,0.771,128,0.516,89,0.371,0.532,0.563,13.4,6.4,12.2,3.8,18.9,0.7,0.75,1.55,9.8,113.2,108.5
13,Giannis Antetokounmpo,Mil,F,26.18,24,33.1,68.9,33.3,13.6,245,0.633,340,0.644,98,0.276,0.592,0.617,28.1,11.1,17.7,5.5,26.4,0.96,1.21,3.58,14.5,117.6,101
14,Kostas Antetokounmpo,Lal,F,23.23,1,7.7,16,22.6,50,0,0,2,0,0,0,0,0,0,4,29,0,0,0,2,2,0,0,86.2
15,Thanasis Antetokounmpo,Mil,F,28.57,16,9.3,19.3,12.4,34,7,0.571,19,0.789,7,0.286,0.692,0.688,2.5,1.9,11,0.9,12.2,0.31,0.19,0.94,7,109.1,96.4
16,Carmelo Anthony,Por,F,36.71,22,25.4,52.9,22.4,6.8,64,0.859,150,0.387,95,0.368,0.451,0.505,12.5,3.5,7.4,1.2,7.1,0.86,0.86,0.91,5.9,103.6,110.8
17,Cole Anthony,Orl,G,20.74,25,26.7,55.6,22,15.1,55,0.836,186,0.398,83,0.325,0.426,0.469,11,4.4,8.7,3.8,21.5,0.68,0.44,2.08,8.5,95.1,108.1
18,OG Anunoby,Tor,F,23.57,17,34.8,72.6,16.4,13.2,47,0.745,80,0.55,97,0.433,0.605,0.63,14.6,5.8,9.2,1.6,6.6,2.06,0.53,1.76,5.9,115.5,106.7
19,Ryan Arcidiacono,Chi,G,26.88,8,11.4,23.8,11.2,8.3,5,0.8,7,0.286,13,0.462,0.55,0.586,3.3,2.1,10.4,1.8,19.3,0.38,0,0.25,8.1,129.8,105.3
20,D.J. Augustin,Mil,G,33.26,24,17.2,35.9,16,13.3,27,0.963,47,0.277,78,0.397,0.476,0.53,6,1.3,3.8,2.7,18.8,0.46,0,0.88,6.4,114,113.2
21,Deni Avdija,Was,F,20.11,18,23,47.8,12.7,11,13,0.538,47,0.532,60,0.383,0.556,0.559,7,4.6,10.5,1.8,10.8,0.89,0.22,0.78,6.7,109.5,106.5
22,Deandre Ayton,Pho,C,22.56,24,32.3,67.3,19.2,15.6,58,0.724,241,0.598,14,0.214,0.582,0.604,14.1,12.5,21.4,1.9,8.9,0.29,1.08,2.17,8.6,115.3,99
23,Udoka Azubuike,Uta,C-F,21.4,12,4.1,8.5,11.1,23.7,6,0.667,7,0.571,0,0,0.571,0.622,1,1.1,14,0,0,0.08,0.33,0.25,0,106.5,92.6
24,Dwayne Bacon,Orl,G-F,25.45,25,23.8,49.5,19,5.7,42,0.738,171,0.427,61,0.377,0.463,0.491,9.8,3.2,6.9,1,6.3,0.64,0.08,0.6,5.3,100.5,109.3
