Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,PF,21,MIA,25,2,15,2.5,4.3,0.589,0,0,,2.5,4.3,0.589,0.589,1.4,2.5,0.54,1.4,2.7,4.1,0.7,0.4,0.6,1,1.9,6.4
2,Jaylen Adams,PG,24,MIL,5,0,3.2,0.2,1.6,0.125,0,0.4,0,0.2,1.2,0.167,0.125,0,0,,0,0.6,0.6,0.4,0,0,0,0.2,0.4
3,Steven Adams,C,27,NOP,23,23,29.4,3.6,6,0.59,0,0,0,3.6,6,0.594,0.59,1.1,2.4,0.473,4.3,5,9.3,2.4,1,0.6,1.8,2,8.3
4,Bam Adebayo,C,23,MIA,23,23,33.3,7.1,12.5,0.568,0.1,0.2,0.4,7,12.3,0.571,0.571,5.4,6.4,0.85,1.9,7.4,9.3,5.2,1,1,3.1,2.6,19.7
5,LaMarcus Aldridge,C,35,SAS,18,18,26.7,5.9,12.5,0.476,1.3,3.7,0.358,4.6,8.8,0.525,0.529,0.9,1.2,0.762,0.8,3.5,4.3,1.9,0.4,0.9,0.9,1.5,14.1
6,Ty-Shon Alexander,SG,22,PHO,3,0,2.7,0,1,0,0,0.3,0,0,0.7,0,0,0,0,,0,0.3,0.3,0.3,0,0,0,0.3,0
7,Nickeil Alexander-Walker,SG,22,NOP,21,3,20.4,3.5,8.8,0.397,1.1,4.1,0.267,2.4,4.7,0.51,0.459,1.2,1.5,0.781,0.2,2.6,2.8,2.1,1.2,0.4,1.4,1.8,9.2
8,Grayson Allen,SG,25,MEM,15,4,22,2.5,6.7,0.38,1.9,4.9,0.384,0.7,1.8,0.37,0.52,2,2.3,0.882,0.5,2.4,2.9,1.9,1,0.2,1.1,1.2,8.9
9,Jarrett Allen,C,22,TOT,25,8,26.1,4.2,6.2,0.667,0,0.1,0.333,4.1,6.1,0.673,0.67,3.4,4.4,0.782,2.8,6,8.9,1.6,0.4,1.7,1.4,1.6,11.8
9,Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,0.677,0,0,,3.7,5.4,0.677,0.677,3.8,5.1,0.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
9,Jarrett Allen,C,22,CLE,13,3,25.6,4.6,7,0.659,0.1,0.2,0.333,4.5,6.8,0.67,0.665,3.1,3.8,0.816,2.5,4.9,7.5,1.5,0.3,1.8,1,1.5,12.4
