Player,Pos,MP,3P,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FantasyPoints
Precious Achiuwa,PF,15,0,1.25,-0.9675,0.7,-1,3.5,5.4,1.4,1.2,1.8,-2.5,-2.85,6.4,14.3325
Jaylen Adams,PG,3.2,0,0.1,-0.27,0,0,0,1.2,0.8,0,0,0,-0.3,0.4,1.93
Steven Adams,C,29.4,0,1.8,-1.35,0.55,-0.96,10.75,10,4.8,3,1.8,-4.5,-3,8.3,31.19
Bam Adebayo,C,33.3,0.05,3.5,-2.7675,2.7,-2.56,4.75,14.8,10.4,3,3,-7.75,-3.9,19.7,44.9225
LaMarcus Aldridge,C,26.7,0.65,2.3,-1.98,0.45,-0.48,2,7,3.8,1.2,2.7,-2.25,-2.25,14.1,27.24
Ty-Shon Alexander,SG,2.7,0,0,-0.1575,0,0,0,0.6,0.6,0,0,0,-0.45,0,0.5925
Nickeil Alexander-Walker,SG,20.4,0.55,1.2,-1.0575,0.6,-0.6,0.5,5.2,4.2,3.6,1.2,-3.5,-2.7,9.2,18.3925
Grayson Allen,SG,22,0.95,0.35,-0.405,1,-0.92,1.25,4.8,3.8,3,0.6,-2.75,-1.8,8.9,18.775
Jarrett Allen,C,26.1,0,2.05,-1.3725,1.7,-1.76,7,12,3.2,1.2,5.1,-3.5,-2.4,11.8,35.0175
Jarrett Allen,C,26.7,0,1.85,-1.215,1.9,-2.04,8,14.6,3.4,1.8,4.8,-4.5,-2.7,11.2,37.095
Jarrett Allen,C,25.6,0.05,2.25,-1.53,1.55,-1.52,6.25,9.8,3,0.9,5.4,-2.5,-2.25,12.4,33.8
Al-Farouq Aminu,PF,5,0,0,0,0,-0.8,0,2,2,0,0,-2.5,0,0,0.7
Kyle Anderson,PF,28.2,0.85,1.65,-1.44,0.95,-0.96,2.5,10.8,7.6,2.1,2.4,-4,-2.55,13.4,33.3
Giannis Antetokounmpo,PF,33.1,0.55,4.55,-3.195,3.25,-4.08,4.25,18.8,11,3,3.6,-9,-4.5,28.1,56.325
Kostas Antetokounmpo,PF,8,0,0,-0.45,0,0,0,8,0,0,6,-5,-1.5,0,7.05
Thanasis Antetokounmpo,SF,9.3,0.05,0.45,-0.27,0.15,-0.16,2,2.2,1.8,0.9,0.6,-2.25,-2.4,2.5,5.57
Carmelo Anthony,PF,25.4,0.85,1.35,-1.575,1.25,-1.16,1,6,2.4,2.4,2.4,-2.25,-3,13,22.665
Cole Anthony,PG,26.7,0.55,1.5,-1.665,0.9,-0.88,2,7.2,7.6,2.1,1.2,-5,-3,11,23.505
OG Anunoby,SF,34.8,1.25,1.3,-1.0575,1.05,-1.12,4,8.4,3.2,6.3,1.5,-4.5,-4.35,14.6,30.5725
Ryan Arcidiacono,PG,11.4,0.4,0.15,-0.2025,0.25,-0.24,0.25,4,3.6,1.2,0,-0.75,-1.65,3.3,10.3075
D.J. Augustin,PG,17.2,0.65,0.25,-0.4275,0.55,-0.44,1,1.6,5.4,1.5,0,-2.25,-0.9,6,12.9325
Deni Avdija,SF,22.9,0.65,0.7,-0.585,0.2,-0.28,1.25,8.2,3.6,2.7,0.6,-1.75,-3.9,7,18.385
Deandre Ayton,C,32.3,0.05,3,-2.2725,0.9,-0.96,9.75,17.4,3.8,0.9,3.3,-5.5,-5.1,14.1,39.3675
